yeast_gene,species,call,hit_id,evalue,pident,coverage,reciprocal_best_hit,tier,final_call
Rds3,Ichthyophthirius_multifiliis,present,XP_004040112.1,1.39e-44,57.1,0.981,True,RBH,present
Ysf3,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Prp9,Ichthyophthirius_multifiliis,present,XP_004039385.1,4.21e-34,29.0,0.742,True,RBH,present
Prp11,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
pRP21,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
LSm8,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
LSm2,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
LSm3,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
LSm4,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
LSm5,Ichthyophthirius_multifiliis,present,XP_004035878.1,5.88e-16,43.2,0.871,True,RBH,present
LSm6,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
LSm7,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Prp8,Ichthyophthirius_multifiliis,present,XP_004032071.1,0.0,61.0,0.949,True,RBH,present
Brr2,Ichthyophthirius_multifiliis,weak_hit,XP_004036855.1,5.72e-267,31.9,0.847,False,RBH,weak_hit
Snu114,Ichthyophthirius_multifiliis,present,XP_004039262.1,4.62e-158,36.6,0.89,True,RBH,present
Dib1,Ichthyophthirius_multifiliis,present,XP_004035804.1,7.25e-63,62.3,0.965,True,RBH,present
Snu13,Ichthyophthirius_multifiliis,present,XP_004024993.1,1.09e-44,53.3,0.952,True,RBH,present
Prp31,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Prp3,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Prp4,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Snu17,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Bud13,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Pml1,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Prp38,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Spp381,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Clf1,Ichthyophthirius_multifiliis,present,XP_004039711.1,2.83e-08,33.7,0.121,True,RBH,present
Syf1,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Cef1,Ichthyophthirius_multifiliis,present,XP_004032002.1,4.42e-52,48.6,0.363,True,RBH,present
Prp19,Ichthyophthirius_multifiliis,present,XP_004030813.1,2.94e-21,33.8,0.264,True,RBH,present
Syf2,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Snt309,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Isy1,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Bud31,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Cwc2,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Cwc15,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Ecm2,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Prp45,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Prp46,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Cwc21,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Cwc22,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Cwc23,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Cwc24,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Cwc27,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Prp2,Ichthyophthirius_multifiliis,weak_hit,XP_004035030.1,3.68e-184,48.4,0.703,False,RBH,weak_hit
Spp2,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Yju2,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Prp17,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Prp22,Ichthyophthirius_multifiliis,present,XP_004031369.1,1.1e-288,46.8,0.876,True,RBH,present
Prp18,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Slu7,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Prp6,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Snu66,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Snu23,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Prp43,Ichthyophthirius_multifiliis,weak_hit,XP_004031369.1,1.9e-220,51.2,0.86,False,RBH,weak_hit
Ntr1,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Ntr2,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Prp5,Ichthyophthirius_multifiliis,weak_hit,XP_004032460.1,4.01e-69,34.8,0.511,False,RBH,weak_hit
Sub2,Ichthyophthirius_multifiliis,present,XP_004039640.1,2.7e-124,50.8,0.879,True,RBH,present
Prp28,Ichthyophthirius_multifiliis,weak_hit,XP_004032460.1,1e-68,35.1,0.736,False,RBH,weak_hit
Prp40,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Mud2,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Msl5,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Cus2,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Srp1,Ichthyophthirius_multifiliis,present,XP_004039799.1,1.31e-20,34.3,0.334,True,RBH,present
Npl3,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Gbp2,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Hrb1,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Hrp1,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Sky1,Ichthyophthirius_multifiliis,present,XP_004023959.1,3.41e-76,36.2,0.823,True,RBH,present
Cwc25,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
DBR1,Ichthyophthirius_multifiliis,absent,,,,,False,RBH,absent
Mud1,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Snp1,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Yhc1,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Prp39,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Prp42,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Nam8,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Snu56,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Luc7,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Snu71,Stylonychia_lemnae,absent,,,,,False,RBH,absent
SmB,Stylonychia_lemnae,absent,,,,,False,RBH,absent
SmD3,Stylonychia_lemnae,present,Contig14369.g15309\tsmall,2.41e-28,53.7,0.812,True,RBH,present
SmD1,Stylonychia_lemnae,absent,,,,,False,RBH,absent
SmD2,Stylonychia_lemnae,present,Contig11348.g12135\tsmall,4.61e-30,59.6,0.809,True,RBH,present
SmE,Stylonychia_lemnae,present,Contig18343.g19490\tsmall,1.11e-15,44.7,0.904,True,RBH,present
SmF,Stylonychia_lemnae,absent,,,,,False,RBH,absent
SmG,Stylonychia_lemnae,present,Contig6903.g7387\tsmall,5.81e-15,50.0,0.935,True,RBH,present
Msl1,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Lea1,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Hsh155,Stylonychia_lemnae,present,Contig10291.g10983\tsplicing,7.61e-268,50.2,0.865,True,RBH,present
Rse1,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Cus1,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Hsh49,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Rds3,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Ysf3,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Prp9,Stylonychia_lemnae,present,Contig16623.g17716\tsplicing,5.04e-27,24.4,0.751,True,RBH,present
Prp11,Stylonychia_lemnae,absent,,,,,False,RBH,absent
pRP21,Stylonychia_lemnae,absent,,,,,False,RBH,absent
LSm8,Stylonychia_lemnae,absent,,,,,False,RBH,absent
LSm2,Stylonychia_lemnae,absent,,,,,False,RBH,absent
LSm3,Stylonychia_lemnae,absent,,,,,False,RBH,absent
LSm4,Stylonychia_lemnae,absent,,,,,False,RBH,absent
LSm5,Stylonychia_lemnae,absent,,,,,False,RBH,absent
LSm6,Stylonychia_lemnae,absent,,,,,False,RBH,absent
LSm7,Stylonychia_lemnae,present,Contig14505.g15453\tu6,3.06e-20,47.1,0.757,True,RBH,present
Prp8,Stylonychia_lemnae,present,Contig12809.g13675\tpre-mrna-processing-splicing,0.0,61.7,0.952,True,RBH,present
Brr2,Stylonychia_lemnae,present,Contig6362.g6819\tu5,0.0,37.0,0.98,True,RBH,present
Snu114,Stylonychia_lemnae,weak_hit,Contig11021.g11776\t116,1.8e-146,33.2,1.047,False,RBH,weak_hit
Dib1,Stylonychia_lemnae,present,Contig8421.g8977\tthioredoxin-like,1.54e-53,63.1,0.909,True,RBH,present
Snu13,Stylonychia_lemnae,present,Contig17991.g19126\tsnrnp,4.58e-45,58.3,0.952,True,RBH,present
Prp31,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Prp3,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Prp4,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Snu17,Stylonychia_lemnae,present,Contig18788.g19932\trna-binding,4.53e-22,61.5,0.439,True,RBH,present
Bud13,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Pml1,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Prp38,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Spp381,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Clf1,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Syf1,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Cef1,Stylonychia_lemnae,present,Contig6303.g6747\tcell,9.36e-53,48.5,0.385,True,RBH,present
Prp19,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Syf2,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Snt309,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Isy1,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Bud31,Stylonychia_lemnae,present,Contig4450.g4746\tprotein,1.51e-54,52.9,1.0,True,RBH,present
Cwc2,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Cwc15,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Ecm2,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Prp45,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Prp46,Stylonychia_lemnae,present,Contig17272.g18393\tpleiotropic,9.39e-22,61.3,0.716,True,RBH,present
Cwc21,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Cwc22,Stylonychia_lemnae,present,Contig5904.g6329\tpre-mrna-splicing,3.83e-54,26.9,0.863,True,RBH,present
Cwc23,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Cwc24,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Cwc27,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Prp2,Stylonychia_lemnae,weak_hit,Contig18551.g19709\tpre-mrna-splicing,1.99e-205,50.0,0.767,False,RBH,weak_hit
Spp2,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Yju2,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Prp17,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Prp22,Stylonychia_lemnae,present,Contig1214.g1317\tatp-dependent,1.34e-288,46.8,0.896,True,RBH,present
Prp18,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Slu7,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Prp6,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Snu66,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Snu23,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Prp43,Stylonychia_lemnae,present,Contig15539.g16559\tprobable,3e-283,60.1,0.88,True,RBH,present
Ntr1,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Ntr2,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Prp5,Stylonychia_lemnae,weak_hit,Contig3696.g3944\tprobable,4.18e-104,38.8,0.585,False,RBH,weak_hit
Sub2,Stylonychia_lemnae,present,Contig1855.g2005\tatp-dependent,6.52e-170,59.6,0.899,True,RBH,present
Prp28,Stylonychia_lemnae,weak_hit,Contig8879.g9485\thypothetical,1.03e-60,33.7,0.696,False,RBH,weak_hit
Prp40,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Mud2,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Msl5,Stylonychia_lemnae,present,Contig12629.g13474\tkh,6.45e-15,37.5,0.252,True,RBH,present
Cus2,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Srp1,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Npl3,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Gbp2,Stylonychia_lemnae,absent,,,,,False,RBH,absent
Hrb1,Stylonychia_lemnae,present,Contig9732.g10411\tsc35-like,1.13e-06,33.8,0.163,True,RBH,present
Hrp1,Stylonychia_lemnae,present,Contig10650.g11370\theterogeneous,8.61e-21,30.9,0.418,True,RBH,present
Sky1,Stylonychia_lemnae,present,Contig8130.g8671\tserine,7.5e-101,35.1,0.867,True,RBH,present
Cwc25,Stylonychia_lemnae,absent,,,,,False,RBH,absent
DBR1,Stylonychia_lemnae,present,Contig11069.g11839\tlariat,7.81e-37,37.6,0.459,True,RBH,present
Mud1,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Snp1,Paramecium_octaurelia,present,CAD8200349.1,9.44e-08,49.2,0.197,True,RBH,present
Yhc1,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Prp39,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Prp42,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Nam8,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Snu56,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Luc7,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Snu71,Paramecium_octaurelia,absent,,,,,False,RBH,absent
SmB,Paramecium_octaurelia,present,CAD8211265.1,8.38e-13,33.3,0.49,True,RBH,present
SmD3,Paramecium_octaurelia,present,CAD8194265.1,2.88e-23,46.3,0.812,True,RBH,present
SmD1,Paramecium_octaurelia,absent,,,,,False,RBH,absent
SmD2,Paramecium_octaurelia,present,CAD8151815.1,3.15e-26,55.8,0.782,True,RBH,present
SmE,Paramecium_octaurelia,present,CAD8212753.1,1.77e-17,40.2,0.926,True,RBH,present
SmF,Paramecium_octaurelia,absent,,,,,False,RBH,absent
SmG,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Msl1,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Lea1,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Hsh155,Paramecium_octaurelia,present,CAD8187342.1,1.53e-253,49.7,0.876,True,RBH,present
Rse1,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Cus1,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Hsh49,Paramecium_octaurelia,present,CAD8149259.1,7.8e-36,36.6,0.962,True,RBH,present
Rds3,Paramecium_octaurelia,present,CAD8187614.1,1.59e-43,57.1,0.981,True,RBH,present
Ysf3,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Prp9,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Prp11,Paramecium_octaurelia,absent,,,,,False,RBH,absent
pRP21,Paramecium_octaurelia,absent,,,,,False,RBH,absent
LSm8,Paramecium_octaurelia,absent,,,,,False,RBH,absent
LSm2,Paramecium_octaurelia,absent,,,,,False,RBH,absent
LSm3,Paramecium_octaurelia,absent,,,,,False,RBH,absent
LSm4,Paramecium_octaurelia,absent,,,,,False,RBH,absent
LSm5,Paramecium_octaurelia,weak_hit,CAD8212753.1,6.48e-06,31.7,0.677,False,RBH,weak_hit
LSm6,Paramecium_octaurelia,absent,,,,,False,RBH,absent
LSm7,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Prp8,Paramecium_octaurelia,present,CAD8137895.1,0.0,50.6,1.138,True,RBH,present
Brr2,Paramecium_octaurelia,present,CAD8202347.1,0.0,35.5,0.995,True,RBH,present
Snu114,Paramecium_octaurelia,present,CAD8208930.1,2.02e-164,34.0,0.994,True,RBH,present
Dib1,Paramecium_octaurelia,present,CAD8142170.1,4.11e-62,63.8,0.965,True,RBH,present
Snu13,Paramecium_octaurelia,present,CAD8131799.1,3.12e-45,54.8,1.0,True,RBH,present
Prp31,Paramecium_octaurelia,present,CAD8141288.1,1.1e-32,29.6,0.678,True,RBH,present
Prp3,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Prp4,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Snu17,Paramecium_octaurelia,present,CAD8198251.1,1.48e-29,57.3,0.649,True,RBH,present
Bud13,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Pml1,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Prp38,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Spp381,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Clf1,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Syf1,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Cef1,Paramecium_octaurelia,present,CAD8178497.1,1.63e-52,45.5,0.41,True,RBH,present
Prp19,Paramecium_octaurelia,present,CAD8171987.1,7.76e-24,25.4,0.845,True,RBH,present
Syf2,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Snt309,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Isy1,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Bud31,Paramecium_octaurelia,present,CAD8163805.1,1.43e-55,56.1,1.0,True,RBH,present
Cwc2,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Cwc15,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Ecm2,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Prp45,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Prp46,Paramecium_octaurelia,present,CAD8172858.1,1.72e-35,58.9,0.749,True,RBH,present
Cwc21,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Cwc22,Paramecium_octaurelia,present,CAD8148273.1,6.54e-49,27.2,0.842,True,RBH,present
Cwc23,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Cwc24,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Cwc27,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Prp2,Paramecium_octaurelia,weak_hit,CAD8207194.1,1.94e-188,49.0,0.741,False,RBH,weak_hit
Spp2,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Yju2,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Prp17,Paramecium_octaurelia,present,CAD8212358.1,1.44e-07,23.3,0.33,True,RBH,present
Prp22,Paramecium_octaurelia,present,CAD8148660.1,3.69e-298,48.9,0.852,True,RBH,present
Prp18,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Slu7,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Prp6,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Snu66,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Snu23,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Prp43,Paramecium_octaurelia,present,CAD8162724.1,3.76e-284,58.4,0.919,True,RBH,present
Ntr1,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Ntr2,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Prp5,Paramecium_octaurelia,weak_hit,CAD8149299.1,5.64e-69,37.8,0.455,False,RBH,weak_hit
Sub2,Paramecium_octaurelia,present,CAD8135370.1,1.17e-87,39.7,0.899,True,RBH,present
Prp28,Paramecium_octaurelia,present,CAD8178495.1,6.19e-99,40.1,0.84,True,RBH,present
Prp40,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Mud2,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Msl5,Paramecium_octaurelia,present,CAD8151208.1,1.99e-09,31.4,0.254,True,RBH,present
Cus2,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Srp1,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Npl3,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Gbp2,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Hrb1,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Hrp1,Paramecium_octaurelia,present,CAD8212002.1,1e-09,31.4,0.191,True,RBH,present
Sky1,Paramecium_octaurelia,present,CAD8164650.1,3.89e-86,31.1,0.829,True,RBH,present
Cwc25,Paramecium_octaurelia,absent,,,,,False,RBH,absent
DBR1,Paramecium_octaurelia,absent,,,,,False,RBH,absent
Mud1,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Snp1,Paramecium_pentaurelia,present,CAD8177017.1,2.25e-06,40.8,0.253,True,RBH,present
Yhc1,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Prp39,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Prp42,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Nam8,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Snu56,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Luc7,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Snu71,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
SmB,Paramecium_pentaurelia,present,CAD8204109.1,8.68e-13,33.3,0.49,True,RBH,present
SmD3,Paramecium_pentaurelia,present,CAD8202507.1,2.98e-23,46.3,0.812,True,RBH,present
SmD1,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
SmD2,Paramecium_pentaurelia,present,CAD8161891.1,2.3e-26,57.0,0.782,True,RBH,present
SmE,Paramecium_pentaurelia,present,CAD8165090.1,1.83e-17,40.2,0.926,True,RBH,present
SmF,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
SmG,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Msl1,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Lea1,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Hsh155,Paramecium_pentaurelia,present,CAD8187639.1,2.24e-253,49.6,0.876,True,RBH,present
Rse1,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Cus1,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Hsh49,Paramecium_pentaurelia,present,CAD8173853.1,8.08e-36,36.6,0.962,True,RBH,present
Rds3,Paramecium_pentaurelia,present,CAD8195246.1,1.65e-43,57.1,0.981,True,RBH,present
Ysf3,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Prp9,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Prp11,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
pRP21,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
LSm8,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
LSm2,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
LSm3,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
LSm4,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
LSm5,Paramecium_pentaurelia,weak_hit,CAD8165090.1,6.71e-06,31.7,0.677,False,RBH,weak_hit
LSm6,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
LSm7,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Prp8,Paramecium_pentaurelia,present,CAD8150018.1,0.0,60.6,0.951,True,RBH,present
Brr2,Paramecium_pentaurelia,present,CAD8197641.1,0.0,36.4,0.962,True,RBH,present
Snu114,Paramecium_pentaurelia,present,CAD8190095.1,6.52e-167,34.6,0.994,True,RBH,present
Dib1,Paramecium_pentaurelia,present,CAD8136892.1,4.26e-62,63.8,0.965,True,RBH,present
Snu13,Paramecium_pentaurelia,present,CAD8150532.1,3.23e-45,54.8,1.0,True,RBH,present
Prp31,Paramecium_pentaurelia,present,CAD8152187.1,8.31e-33,29.5,0.666,True,RBH,present
Prp3,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Prp4,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Snu17,Paramecium_pentaurelia,present,CAD8193088.1,8.08e-30,50.9,0.77,True,RBH,present
Bud13,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Pml1,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Prp38,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Spp381,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Clf1,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Syf1,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Cef1,Paramecium_pentaurelia,present,CAD8169981.1,1.69e-52,45.5,0.41,True,RBH,present
Prp19,Paramecium_pentaurelia,present,CAD8191941.1,2.75e-22,24.0,0.845,True,RBH,present
Syf2,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Snt309,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Isy1,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Bud31,Paramecium_pentaurelia,present,CAD8156295.1,2.1e-55,56.1,1.0,True,RBH,present
Cwc2,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Cwc15,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Ecm2,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Prp45,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Prp46,Paramecium_pentaurelia,present,CAD8162300.1,4.59e-35,58.6,0.749,True,RBH,present
Cwc21,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Cwc22,Paramecium_pentaurelia,present,CAD8154534.1,5.11e-48,27.0,0.842,True,RBH,present
Cwc23,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Cwc24,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Cwc27,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Prp2,Paramecium_pentaurelia,weak_hit,CAD8207986.1,3.43e-195,49.0,0.741,False,RBH,weak_hit
Spp2,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Yju2,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Prp17,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Prp22,Paramecium_pentaurelia,present,CAD8163966.1,2.96e-298,49.0,0.846,True,RBH,present
Prp18,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Slu7,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Prp6,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Snu66,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Snu23,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Prp43,Paramecium_pentaurelia,present,CAD8181742.1,1.37e-284,59.9,0.892,True,RBH,present
Ntr1,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Ntr2,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Prp5,Paramecium_pentaurelia,weak_hit,CAD8136554.1,4.47e-97,42.3,0.506,False,RBH,weak_hit
Sub2,Paramecium_pentaurelia,present,CAD8132056.1,5.28e-88,41.0,0.881,True,RBH,present
Prp28,Paramecium_pentaurelia,present,CAD8169983.1,6.72e-98,39.3,0.84,True,RBH,present
Prp40,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Mud2,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Msl5,Paramecium_pentaurelia,present,CAD8142922.1,2.06e-09,31.4,0.254,True,RBH,present
Cus2,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
Srp1,Paramecium_pentaurelia,absent,,,,,False,RBH,absent
